,Temperature,Pressure,Phase,Number Of Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,EnthalpyOfMixing Value,EnthalpyOfMixing Uncertainty,ExcessMolarVolume Value,ExcessMolarVolume Uncertainty,DielectricConstant Value,DielectricConstant Uncertainty,EnthalpyOfVaporization Value,EnthalpyOfVaporization Uncertainty,Density Value,Density Uncertainty
0,298.15 kelvin,101.0 kilopascal,2,2,CCCCOC=O,0.3993,C(CBr)Br,0.6007,0.137 kilojoule / mole,0.0 kilojoule / mole,1.78e-07 meter ** 3 / mole,0.0 meter ** 3 / mole,,,,,,
1,298.15 kelvin,101.0 kilopascal,2,2,CCCCOC=O,0.7738,C(CBr)Br,0.2262,,,9.6e-08 meter ** 3 / mole,0.0 meter ** 3 / mole,,,,,,
2,298.15 kelvin,101.0 kilopascal,2,2,CCCCOC=O,0.7275,C(CBr)Br,0.2725,0.067 kilojoule / mole,0.0 kilojoule / mole,,,,,,,,
3,298.15 kelvin,101.0 kilopascal,2,2,C(CBr)Br,0.2547,CCCCOC(=O)C,0.7453000000000001,,,1.42e-07 meter ** 3 / mole,0.0 meter ** 3 / mole,,,,,,
4,298.15 kelvin,101.0 kilopascal,2,2,C(CBr)Br,0.2146,CCCCOC(=O)C,0.7854,-0.116 kilojoule / mole,0.0 kilojoule / mole,,,,,,,,
5,298.15 kelvin,101.0 kilopascal,2,2,C(CBr)Br,0.7476,CCCCOC(=O)C,0.2524,,,1.22e-07 meter ** 3 / mole,0.0 meter ** 3 / mole,,,,,,
6,298.15 kelvin,101.0 kilopascal,2,2,C(CBr)Br,0.7661,CCCCOC(=O)C,0.2339,-0.043 kilojoule / mole,0.0 kilojoule / mole,,,,,,,,
7,298.15 kelvin,101.0 kilopascal,2,2,c1ccccc1,0.2877,CCCCCCCl,0.7122999999999999,,,1.218e-07 meter ** 3 / mole,0.0 meter ** 3 / mole,,,,,,
8,298.15 kelvin,101.0 kilopascal,2,2,c1ccccc1,0.2862,CCCCCCCl,0.7138,0.0331 kilojoule / mole,0.0 kilojoule / mole,,,,,,,,
9,298.15 kelvin,101.0 kilopascal,2,2,c1ccccc1,0.7352,CCCCCCCl,0.26480000000000004,0.1097 kilojoule / mole,0.0 kilojoule / mole,,,,,,,,
10,298.15 kelvin,101.0 kilopascal,2,2,c1ccccc1,0.772,CCCCCCCl,0.228,,,1.876e-07 meter ** 3 / mole,0.0 meter ** 3 / mole,,,,,,
11,308.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.2681,c1ccncc1,0.7319,-0.8915 kilojoule / mole,0.0 kilojoule / mole,,,,,,,,
12,298.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.2374,c1ccncc1,0.7626,,,-2.944e-07 meter ** 3 / mole,0.0 meter ** 3 / mole,,,,,,
13,308.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.7735,c1ccncc1,0.2265000000000001,-0.7828 kilojoule / mole,0.0 kilojoule / mole,,,,,,,,
14,298.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.7678,c1ccncc1,0.2322,,,-2.258e-07 meter ** 3 / mole,0.0 meter ** 3 / mole,,,,,,
15,308.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.2715,Cc1ccncc1,0.7284999999999999,-1.1791 kilojoule / mole,0.0 kilojoule / mole,,,,,,,,
16,298.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.2655,Cc1ccncc1,0.7344999999999999,,,-3.65e-07 meter ** 3 / mole,0.0 meter ** 3 / mole,,,,,,
17,308.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.7827,Cc1ccncc1,0.21730000000000005,-0.8885 kilojoule / mole,0.0 kilojoule / mole,,,,,,,,
18,298.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.7674,Cc1ccncc1,0.2326000000000001,,,-2.209e-07 meter ** 3 / mole,0.0 meter ** 3 / mole,,,,,,
19,298.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.22030000000000005,CCC(=O)C,0.7797,0.2432 kilojoule / mole,0.0 kilojoule / mole,,,,,,,,
20,303.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.212,CCC(=O)C,0.7879999999999999,,,-1.24e-07 meter ** 3 / mole,0.0 meter ** 3 / mole,,,,,,
21,298.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.7615000000000001,CCC(=O)C,0.2385,0.2599 kilojoule / mole,0.0 kilojoule / mole,,,,,,,,
22,303.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.7340000000000001,CCC(=O)C,0.266,,,7.6e-08 meter ** 3 / mole,0.0 meter ** 3 / mole,,,,,,
23,298.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.2762,C1CCC(=O)CC1,0.7238,0.5252 kilojoule / mole,0.0 kilojoule / mole,,,,,,,,
24,303.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.2241,C1CCC(=O)CC1,0.7759,,,1.42e-07 meter ** 3 / mole,0.0 meter ** 3 / mole,,,,,,
25,298.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.7569,C1CCC(=O)CC1,0.2431,0.5052 kilojoule / mole,0.0 kilojoule / mole,,,,,,,,
26,303.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.7218,C1CCC(=O)CC1,0.2782,,,2.04e-07 meter ** 3 / mole,0.0 meter ** 3 / mole,,,,,,
27,299.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.27780000000000005,COC=O,0.7222,2.0563 kilojoule / mole,0.0 kilojoule / mole,8.68e-07 meter ** 3 / mole,0.0 meter ** 3 / mole,,,,,,
28,299.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.7127,COC=O,0.2873,1.8888 kilojoule / mole,0.0 kilojoule / mole,,,,,,,,
29,299.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.7581,COC=O,0.2419,,,8.67e-07 meter ** 3 / mole,0.0 meter ** 3 / mole,,,,,,
30,303.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.25680000000000003,CC(=O)OC,0.7432,,,6.59e-07 meter ** 3 / mole,0.0 meter ** 3 / mole,,,,,,
31,318.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.2372,CC(=O)OC,0.7628,1.5357 kilojoule / mole,0.0 kilojoule / mole,,,,,,,,
32,303.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.7519,CC(=O)OC,0.2481,,,7.02e-07 meter ** 3 / mole,0.0 meter ** 3 / mole,,,,,,
33,318.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.7696000000000001,CC(=O)OC,0.2304,1.2996 kilojoule / mole,0.0 kilojoule / mole,,,,,,,,
34,303.15 kelvin,101.325 kilopascal,2,2,C(CBr)Br,0.2077,C(=C(Cl)Cl)Cl,0.7923,,,1.29e-07 meter ** 3 / mole,0.0 meter ** 3 / mole,,,,,,
35,303.15 kelvin,101.325 kilopascal,2,2,C(CBr)Br,0.7903,C(=C(Cl)Cl)Cl,0.2097,,,1.25e-07 meter ** 3 / mole,0.0 meter ** 3 / mole,,,,,,
36,298.15 kelvin,101.3 kilopascal,2,2,C1CCOC1,0.212,C(C(F)(F)F)O,0.7879999999999999,-1.543 kilojoule / mole,0.0 kilojoule / mole,,,,,,,,
37,298.15 kelvin,101.3 kilopascal,2,2,C1CCOC1,0.7170000000000001,C(C(F)(F)F)O,0.28300000000000003,-1.427 kilojoule / mole,0.0 kilojoule / mole,,,,,,,,
38,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)O,0.29705,CO,0.70295,-0.7644 kilojoule / mole,0.0 kilojoule / mole,,,,,,,,
