,Temperature,Pressure,Phase,Number Of Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,ExcessMolarVolume Value,ExcessMolarVolume Uncertainty,Density Value,Density Uncertainty,EnthalpyOfVaporization Value,EnthalpyOfVaporization Uncertainty,EnthalpyOfMixing Value,EnthalpyOfMixing Uncertainty,DielectricConstant Value,DielectricConstant Uncertainty
0,298.15 kelvin,101.0 kilopascal,2,2,CCCCOC=O,0.3993,C(CBr)Br,0.6007,-1.8802504402694363e-07 meter ** 3 / mole,1.6962040375498807e-08 meter ** 3 / mole,,,,,-14.208690046798438 kilogram * meter ** 2 / mole / second ** 2,17.869380291704243 kilogram * meter ** 2 / mole / second ** 2,,
1,298.15 kelvin,101.0 kilopascal,2,2,CCCCOC=O,0.7738,C(CBr)Br,0.2262,-1.348530908299475e-07 meter ** 3 / mole,1.7251454475651946e-08 meter ** 3 / mole,,,,,,,,
2,298.15 kelvin,101.0 kilopascal,2,2,CCCCOC=O,0.7275,C(CBr)Br,0.2725,,,,,,,-15.7851128015609 kilogram * meter ** 2 / mole / second ** 2,17.594812723674238 kilogram * meter ** 2 / mole / second ** 2,,
3,298.15 kelvin,101.0 kilopascal,2,2,C(CBr)Br,0.2547,CCCCOC(=O)C,0.7453000000000001,-2.6479710376275207e-07 meter ** 3 / mole,1.8064353330098215e-08 meter ** 3 / mole,,,,,,,,
4,298.15 kelvin,101.0 kilopascal,2,2,C(CBr)Br,0.2146,CCCCOC(=O)C,0.7854,,,,,,,-341.3797674158268 kilogram * meter ** 2 / mole / second ** 2,16.919248695804818 kilogram * meter ** 2 / mole / second ** 2,,
5,298.15 kelvin,101.0 kilopascal,2,2,C(CBr)Br,0.7476,CCCCOC(=O)C,0.2524,-2.7385274287814354e-07 meter ** 3 / mole,1.8908401989393366e-08 meter ** 3 / mole,,,,,,,,
6,298.15 kelvin,101.0 kilopascal,2,2,C(CBr)Br,0.7661,CCCCOC(=O)C,0.2339,,,,,,,-409.3396329735788 kilogram * meter ** 2 / mole / second ** 2,17.28048690371042 kilogram * meter ** 2 / mole / second ** 2,,
7,298.15 kelvin,101.0 kilopascal,2,2,c1ccccc1,0.2877,CCCCCCCl,0.7122999999999999,4.418541533299659e-07 meter ** 3 / mole,1.8136328299373548e-08 meter ** 3 / mole,,,,,,,,
8,298.15 kelvin,101.0 kilopascal,2,2,c1ccccc1,0.2862,CCCCCCCl,0.7138,,,,,,,214.85932754492387 kilogram * meter ** 2 / mole / second ** 2,17.753686102568118 kilogram * meter ** 2 / mole / second ** 2,,
9,298.15 kelvin,101.0 kilopascal,2,2,c1ccccc1,0.7352,CCCCCCCl,0.26480000000000004,,,,,,,368.93474991284893 kilogram * meter ** 2 / mole / second ** 2,17.65310925332592 kilogram * meter ** 2 / mole / second ** 2,,
10,298.15 kelvin,101.0 kilopascal,2,2,c1ccccc1,0.772,CCCCCCCl,0.228,5.589234919247538e-07 meter ** 3 / mole,1.7453064853481715e-08 meter ** 3 / mole,,,,,,,,
11,308.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.2681,c1ccncc1,0.7319,,,,,,,-1214.4389385120412 kilogram * meter ** 2 / mole / second ** 2,18.265558909742584 kilogram * meter ** 2 / mole / second ** 2,,
12,298.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.2374,c1ccncc1,0.7626,-4.39655894282558e-07 meter ** 3 / mole,1.8236924478709533e-08 meter ** 3 / mole,,,,,,,,
13,308.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.7735,c1ccncc1,0.2265000000000001,,,,,,,-945.8290115216514 kilogram * meter ** 2 / mole / second ** 2,17.115967493734487 kilogram * meter ** 2 / mole / second ** 2,,
14,298.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.7678,c1ccncc1,0.2322,-3.9794326293281245e-07 meter ** 3 / mole,1.6811199019248643e-08 meter ** 3 / mole,,,,,,,,
15,308.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.2715,Cc1ccncc1,0.7284999999999999,,,,,,,-1112.3315038160144 kilogram * meter ** 2 / mole / second ** 2,15.95885485424435 kilogram * meter ** 2 / mole / second ** 2,,
16,298.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.2655,Cc1ccncc1,0.7344999999999999,-4.0253204334729986e-07 meter ** 3 / mole,1.8424898731957253e-08 meter ** 3 / mole,,,,,,,,
17,308.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.7827,Cc1ccncc1,0.21730000000000005,,,,,,,-780.6355891751082 kilogram * meter ** 2 / mole / second ** 2,17.719249165999123 kilogram * meter ** 2 / mole / second ** 2,,
18,298.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.7674,Cc1ccncc1,0.2326000000000001,-2.3162885699705275e-07 meter ** 3 / mole,1.719415245425801e-08 meter ** 3 / mole,,,,,,,,
19,298.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.22030000000000005,CCC(=O)C,0.7797,,,,,,,252.8370330633661 kilogram * meter ** 2 / mole / second ** 2,16.60101352850258 kilogram * meter ** 2 / mole / second ** 2,,
20,303.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.212,CCC(=O)C,0.7879999999999999,-2.4917093067772407e-07 meter ** 3 / mole,1.6211506612923643e-08 meter ** 3 / mole,,,,,,,,
21,298.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.7615000000000001,CCC(=O)C,0.2385,,,,,,,282.8734779368533 kilogram * meter ** 2 / mole / second ** 2,16.39089807209191 kilogram * meter ** 2 / mole / second ** 2,,
22,303.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.7340000000000001,CCC(=O)C,0.266,-3.32635061348394e-07 meter ** 3 / mole,1.5979428802303408e-08 meter ** 3 / mole,,,,,,,,
23,298.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.2762,C1CCC(=O)CC1,0.7238,,,,,,,514.9700732533602 kilogram * meter ** 2 / mole / second ** 2,16.91894642197623 kilogram * meter ** 2 / mole / second ** 2,,
24,303.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.2241,C1CCC(=O)CC1,0.7759,1.374274939532164e-07 meter ** 3 / mole,1.599955792637612e-08 meter ** 3 / mole,,,,,,,,
25,298.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.7569,C1CCC(=O)CC1,0.2431,,,,,,,452.71420957650116 kilogram * meter ** 2 / mole / second ** 2,17.07312272573906 kilogram * meter ** 2 / mole / second ** 2,,
26,303.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.7218,C1CCC(=O)CC1,0.2782,1.4692766437006594e-07 meter ** 3 / mole,1.8697886094589856e-08 meter ** 3 / mole,,,,,,,,
27,299.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.27780000000000005,COC=O,0.7222,4.82738609128828e-07 meter ** 3 / mole,1.782884780573153e-08 meter ** 3 / mole,,,,,759.2343720983117 kilogram * meter ** 2 / mole / second ** 2,16.936528225278742 kilogram * meter ** 2 / mole / second ** 2,,
28,299.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.7127,COC=O,0.2873,,,,,,,797.9054593813526 kilogram * meter ** 2 / mole / second ** 2,18.370404089467808 kilogram * meter ** 2 / mole / second ** 2,,
29,299.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.7581,COC=O,0.2419,4.359421200033405e-07 meter ** 3 / mole,1.751044234337988e-08 meter ** 3 / mole,,,,,,,,
