,Temperature,Pressure,Phase,Number Of Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,ExcessMolarVolume Value,ExcessMolarVolume Uncertainty,Density Value,Density Uncertainty,EnthalpyOfVaporization Value,EnthalpyOfVaporization Uncertainty,EnthalpyOfMixing Value,EnthalpyOfMixing Uncertainty,DielectricConstant Value,DielectricConstant Uncertainty
0,298.15 kelvin,101.0 kilopascal,2,2,CCCCOC=O,0.3993,C(CBr)Br,0.6007,-3.713642784410439e-07 meter ** 3 / mole,1.866455919947201e-08 meter ** 3 / mole,,,,,-100.16849157949764 kilogram * meter ** 2 / mole / second ** 2,16.943801472055334 kilogram * meter ** 2 / mole / second ** 2,,
1,298.15 kelvin,101.0 kilopascal,2,2,CCCCOC=O,0.7738,C(CBr)Br,0.2262,-2.51969413118689e-07 meter ** 3 / mole,1.7809701118058482e-08 meter ** 3 / mole,,,,,,,,
2,298.15 kelvin,101.0 kilopascal,2,2,CCCCOC=O,0.7275,C(CBr)Br,0.2725,,,,,,,-167.5684249302576 kilogram * meter ** 2 / mole / second ** 2,19.051247691586823 kilogram * meter ** 2 / mole / second ** 2,,
3,298.15 kelvin,101.0 kilopascal,2,2,C(CBr)Br,0.2547,CCCCOC(=O)C,0.7453000000000001,-3.1807353505271404e-07 meter ** 3 / mole,1.8735336346199862e-08 meter ** 3 / mole,,,,,,,,
4,298.15 kelvin,101.0 kilopascal,2,2,C(CBr)Br,0.2146,CCCCOC(=O)C,0.7854,,,,,,,-264.82523293598933 kilogram * meter ** 2 / mole / second ** 2,17.28881322026022 kilogram * meter ** 2 / mole / second ** 2,,
5,298.15 kelvin,101.0 kilopascal,2,2,C(CBr)Br,0.7476,CCCCOC(=O)C,0.2524,-2.4229198073726544e-07 meter ** 3 / mole,1.8384517905229273e-08 meter ** 3 / mole,,,,,,,,
6,298.15 kelvin,101.0 kilopascal,2,2,C(CBr)Br,0.7661,CCCCOC(=O)C,0.2339,,,,,,,-200.8396329478237 kilogram * meter ** 2 / mole / second ** 2,17.815845562763407 kilogram * meter ** 2 / mole / second ** 2,,
7,298.15 kelvin,101.0 kilopascal,2,2,c1ccccc1,0.2877,CCCCCCCl,0.7122999999999999,-9.017112674675957e-08 meter ** 3 / mole,1.825656960261262e-08 meter ** 3 / mole,,,,,,,,
8,298.15 kelvin,101.0 kilopascal,2,2,c1ccccc1,0.2862,CCCCCCCl,0.7138,,,,,,,147.42675812207744 kilogram * meter ** 2 / mole / second ** 2,17.268118004465872 kilogram * meter ** 2 / mole / second ** 2,,
9,298.15 kelvin,101.0 kilopascal,2,2,c1ccccc1,0.7352,CCCCCCCl,0.26480000000000004,,,,,,,291.6218756165472 kilogram * meter ** 2 / mole / second ** 2,15.94405067583023 kilogram * meter ** 2 / mole / second ** 2,,
10,298.15 kelvin,101.0 kilopascal,2,2,c1ccccc1,0.772,CCCCCCCl,0.228,-1.713274975886816e-08 meter ** 3 / mole,1.780438423216218e-08 meter ** 3 / mole,,,,,,,,
